id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
62712,3.496507561,Bed & Breakfast,Shared room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials}",1,3,Real Bed,flexible,TRUE,LA,23-08-15,t,t,70%,16-09-14,f,31-08-16,34.02161172,-118.3146785,10-1 Bed Mixed Dorm in Cimarron House,South LA,28,84,90018,1,1
62925,3.912023005,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",3,1,Real Bed,strict,TRUE,NYC,18-06-13,t,t,100%,12-04-13,t,08-09-17,40.82499523,-73.94132486,Relaxed in New York,Harlem,92,93,10039,1,1
66161,5.298317367,Condominium,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,2,Real Bed,strict,TRUE,LA,21-06-16,t,f,100%,29-05-16,f,30-04-17,33.89080576,-118.4115802,3 BLKS TO SAND/PATIO/2 CAR PARKING!,Manhattan Beach,41,97,90266,1,2
66275,5.204006687,Townhouse,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Private entrance"",Bathtub,Crib}",4,,Real Bed,strict,TRUE,NYC,07-02-17,t,f,100%,30-10-16,t,01-10-17,40.68326216,-73.98003579,"Spacious, Great Location, Garden, 1 stop to Manh.",Boerum Hill,22,98,11217,2,4
66974,3.80666249,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",""Family/kid friendly"",Washer,Dryer,""Laptop friendly workspace""}",2,1,Real Bed,strict,TRUE,LA,05-07-15,t,t,100%,02-12-14,f,01-05-16,33.98802221,-118.3573536,private single apartment for 2,South LA,3,67,90043,1,2
67672,5.187385806,Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water""}",10,1,Real Bed,strict,TRUE,NYC,29-06-17,t,t,100%,31-05-17,t,14-09-17,40.73653535,-73.99798494,Chelsea 4BR! A+ Location!!,West Village,8,90,10011,4,4
68962,5.293304825,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,1,Real Bed,moderate,TRUE,NYC,08-12-16,t,f,100%,28-04-15,f,22-08-17,40.81437506,-73.95183065,"Huge 2 Bedroom, Great Location, Express Metro",Harlem,5,96,10027,2,3
70753,4.17438727,House,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway""}",4,1,Real Bed,moderate,TRUE,NYC,14-07-17,t,t,100%,06-06-17,t,19-09-17,40.6810591,-73.88915685,Orange in Cypress Hills,East New York,12,97,11207,1,4
71504,2.708050201,Hostel,Shared room,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,3,Real Bed,strict,FALSE,LA,03-12-16,t,t,100%,10-11-16,t,15-04-17,34.04593329,-118.2808631,TOP 5 Airbnb: SIMPLE STAY ! DOWNTOWN !!,Westlake,27,91,90006,1,8
74758,4.744932128,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",5,1,Real Bed,strict,TRUE,Chicago,09-10-16,t,t,100%,03-11-15,f,01-04-17,41.9014145,-87.70749643,The Secret Garden - at Humboldt Park,Humboldt Park,5,84,60651,2,5
75423,5.192956851,House,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private living room"",""Private entrance""}",2,1,Real Bed,flexible,FALSE,Boston,,t,f,,09-09-17,f,,42.34132014,-71.14190967,地铁口最大最美房源,Allston-Brighton,0,,2135,1,1
80924,5.010635294,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_50""}",4,1,Real Bed,moderate,TRUE,NYC,08-12-14,t,t,,23-11-14,f,03-01-15,40.6897852,-73.92202518,Beautiful 2 Bedroom Bushwick Apt.,Bushwick,4,95,11221,2,2
81480,4.59511985,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),""Elevator in building"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}",3,1,Real Bed,moderate,TRUE,LA,08-09-15,t,t,100%,18-06-15,t,21-04-17,34.10102625,-118.3404321,BEST LOCATION IN HOLLYWOOD+PARKING,Hollywood,38,94,90028,1,1
92481,3.80666249,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Fire extinguisher"",""Lock on bedroom door"",Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.5,Real Bed,strict,TRUE,NYC,15-05-16,t,t,,16-06-14,f,15-05-16,40.70483739,-73.91941802,Sunny bedroom with backyard access,Bushwick,1,100,11237,1,1
93313,4.234106505,Guesthouse,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox,""Private entrance""}",2,,Real Bed,strict,TRUE,LA,14-08-16,t,t,100%,17-09-13,f,19-04-17,34.09472644,-118.2253121,Private Casita Near Downtown L.A.,Cypress Park,29,99,90065,1,1
94035,5.187385806,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",16,1,Real Bed,strict,TRUE,LA,18-06-16,t,t,57%,23-11-15,t,21-03-17,34.08516234,-118.3438187,Big Spacious hollywood home,West Hollywood,20,78,90038,3,3
114969,4.605170186,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,""Elevator in building"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo}",1,1,Real Bed,flexible,TRUE,DC,,t,t,,21-11-13,f,,38.91687428,-77.04430317,1-br in Dupont/Adams Morgan,Adams Morgan,0,,20009,1,1
115407,5.192956851,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,FALSE,DC,,f,f,,19-01-17,t,,38.82925227,-77.00406305,Minutes from downtown,Washington Highlands,0,,20032,2,1
121405,4.49980967,Townhouse,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",3,1,Real Bed,strict,TRUE,NYC,07-05-15,t,t,100%,12-04-15,f,26-09-17,40.68401254,-73.98521002,Peaceful Private Rm in Brownstone w/Deck & Garden,Boerum Hill,73,98,11217,1,2
123282,3.784189634,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,2,Real Bed,strict,TRUE,NYC,01-06-17,t,t,100%,22-06-10,f,01-06-17,40.69101097,-73.9731157,Sunny Room in a Brooklyn Brownstone - Fort Greene,Fort Greene,1,100,11205,1,1
138592,4.094344562,Apartment,Private room,"{""Wireless Internet"",""Air conditioning"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Doorman}",4,1,Real Bed,flexible,TRUE,NYC,,t,f,100%,07-07-17,t,,40.86619793,-73.92646167,Uptown Sojourn NYC,Inwood,0,,10034,1,2
140133,3.295836866,House,Shared room,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,1,Real Bed,flexible,FALSE,NYC,,t,f,90%,09-05-17,f,,40.74677412,-73.88120483,Convenient living room for share,Elmhurst,0,,11373,1,1
146189,4.094344562,House,Private room,"{TV,Internet,""Wireless Internet"",Kitchen,""Smoking allowed"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,1,Real Bed,flexible,FALSE,SF,21-07-16,t,t,,30-01-13,f,01-09-16,37.76041155,-122.4076723,Private room - in Mission House,Mission District,3,93,94110,1,1
147876,4.787491743,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",Essentials,Shampoo,""Hair dryer""}",2,1,Real Bed,flexible,FALSE,LA,,t,t,67%,29-06-14,f,,34.03309076,-118.4791713,Lovely Studio Space in the Heart of Santa Monica,Santa Monica,0,,90404,1,1
150480,5.517452896,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",5,2,Real Bed,strict,TRUE,DC,27-12-15,t,f,100%,04-02-13,f,17-03-17,38.8950247,-77.02217526,Historic Downtown DC Location LB2,Downtown/Penn Quarter,8,93,20004,2,3
155859,4.49980967,Apartment,Private room,"{""Wireless Internet"",""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector""}",1,1,Real Bed,flexible,FALSE,NYC,11-09-16,t,f,,09-07-16,f,11-09-16,40.74378953,-73.9127674,"Great quiet room,great location",Sunnyside,1,100,11377,1,1
158913,4.605170186,House,Private room,"{TV,""Wireless Internet"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",6,1,Real Bed,flexible,FALSE,NYC,,t,f,43%,21-11-16,f,,40.64065379,-73.94269627,"Beautiful Apartment in Brooklyn, Large Rooms",East Flatbush,0,,11203,1,3
162493,4.934473933,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_50""}",4,1,Real Bed,moderate,TRUE,LA,12-10-15,t,t,100%,15-09-15,f,24-03-17,34.17202563,-118.1767895,"Big Old Apartment, Great Area, Walk to Rose Bowl",Pasadena,13,85,91103,1,2
171811,5.416100402,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo}",1,1,Real Bed,moderate,FALSE,DC,09-10-14,t,f,100%,18-06-13,f,06-04-16,38.90976928,-77.05195347,"Safe, snug, and cozy in Georgetown",Georgetown,8,90,20007,1,1
172870,5.010635294,House,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Gym,Breakfast,""Hot tub"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.5,Real Bed,flexible,FALSE,DC,03-03-17,t,f,100%,03-02-17,t,07-04-17,38.94648864,-77.01804204,Private One Bedroom Suite in Petworth Community DC,Petworth,3,100,20011,1,1
173072,4.86753445,Apartment,Entire home/apt,"{""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,Iron}",5,1,Real Bed,strict,TRUE,NYC,,t,f,100%,17-05-12,t,,40.69619084,-73.90127427,"Sunny, Two-Bedroom Apartment in Brooklyn/Queens",Ridgewood,0,,11385,2,3
